"Acad Plan"	"Dept Descrshort"	"Dept Descrformal"	"Acad Plan Effdt"	"Acad Plan Percent Owned"	"Acad Plan Descr"
"URBSBSEELE"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Urban Studies BSE ElecE"
"URBSBSEEP"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Urban Studies BSE E Phy"
"URBSBSEESS"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Urban Studies BSE ESS"
"URBSBSEIOP"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Urban Studies BSE IndOp"
"URBSBSEMAT"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Urban Studies BSE Mat S"
"URBSBSEMEC"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Urban Studies BSE MechE"
"URBSBSENAV"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Urban Studies BSE NAME"
"URBSBSENER"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Urban Studies BSE Nuc E"
"URBSBSENG"	"RESCO"	"College of L S & A Residential College"	"1901/01/01 00:00:00"	"100"	"Minor -Urban Studies BS Eng"
"UCSABLSA"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Community StdBA"
"UCSBBA"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Comm Std BBA"
"UCSBDA"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Comm Std BDA"
"UCSBFA"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Comm Std BFA"
"UCSBFAM"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Comm Std BFA"
"UCSBMA"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Comm Std BMusA"
"UCSBMU"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Comm Std BMus"
"UCSBNU"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Community StdBS"
"UCSBSAUP"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Community StdBS"
"UCSBSDH"	"RESCO"	"College of L S & A Residential College"	"2009/11/16 00:00:00"	"100"	"Minor -Urban & Community StdBS"
